Veg ID,Map Unit ID,Strata,No. Growth Forms,No. Taxa,Mapunit Identifier,Spatial Mix,Data Set Name,Stratum ID,Sub Stratum Rank,Cover Type,Cover Mean Value,Height Type,Height Mean Value,L6 Sub Association,L2 Structural Formation,L3 Broad Floristic Formation,L4 Sub Formation,L5 Association,Cover Code,Height Class,Dominant Stratum Flag,Source Code,Source Description,Environmental Description,Common Language Description,No. Strata,Nvis ID,Data Set Id,Record Type,Growth Form Type
1,2274,U1,1,1,31600023,pure,NTLUNIT1750/2000,5878,1,Percentage Cover (classed data),-9999,Average Height (general vegetation mapping),-9999,"U1+ ^Eucalyptus camaldulensis\^tree\6\i;M1 Atalaya hemiglauca,^Acacia victoriae,Acacia farnesiana\^shrub\3\bi;G1 ^Zygochloa paradoxa,Enteropogon ramosus,Aristida holathera\tussock grass,forb,^hummock grass\1\bi",Low woodland,Eucalyptus low woodland,Eucalyptus low woodland\Acacia mid isolated shrubs\Zygochloa low isolated hummock grasses,"U+ ^Eucalyptus camaldulensis\^tree\6\i;M1 Atalaya hemiglauca,^Acacia victoriae,Acacia farnesiana\^shrub\3\bi;G ^Zygochloa paradoxa,Enteropogon ramosus,Aristida holathera\tussock grass,forb,^hummock grass\1\bi",i,6,Y,Land Unit 4.1,Drainage - Sandy creeks,"Sandy stream channels (up to 100m wide), 5m deep and associated floodplains. Coarse textured alluvial, well drained soil",-,3,3131,43,-,Tree
1,2274,M1,1,3,31600023,pure,NTLUNIT1750/2000,5879,-,Percentage Cover (classed data),-9999,Average Height (general vegetation mapping),-9999,"U1+ ^Eucalyptus camaldulensis\^tree\6\i;M1 Atalaya hemiglauca,^Acacia victoriae,Acacia farnesiana\^shrub\3\bi;G1 ^Zygochloa paradoxa,Enteropogon ramosus,Aristida holathera\tussock grass,forb,^hummock grass\1\bi",Low woodland,Eucalyptus low woodland,Eucalyptus low woodland\Acacia mid isolated shrubs\Zygochloa low isolated hummock grasses,"U+ ^Eucalyptus camaldulensis\^tree\6\i;M1 Atalaya hemiglauca,^Acacia victoriae,Acacia farnesiana\^shrub\3\bi;G ^Zygochloa paradoxa,Enteropogon ramosus,Aristida holathera\tussock grass,forb,^hummock grass\1\bi",bi,3,N,Land Unit 4.1,Drainage - Sandy creeks,"Sandy stream channels (up to 100m wide), 5m deep and associated floodplains. Coarse textured alluvial, well drained soil",-,3,3131,43,-,Shrub
1,2274,G1,3,3,31600023,pure,NTLUNIT1750/2000,5880,-,Foliage Cover (classed data),-9999,Average Height (general vegetation mapping),-9999,"U1+ ^Eucalyptus camaldulensis\^tree\6\i;M1 Atalaya hemiglauca,^Acacia victoriae,Acacia farnesiana\^shrub\3\bi;G1 ^Zygochloa paradoxa,Enteropogon ramosus,Aristida holathera\tussock grass,forb,^hummock grass\1\bi",Low woodland,Eucalyptus low woodland,Eucalyptus low woodland\Acacia mid isolated shrubs\Zygochloa low isolated hummock grasses,"U+ ^Eucalyptus camaldulensis\^tree\6\i;M1 Atalaya hemiglauca,^Acacia victoriae,Acacia farnesiana\^shrub\3\bi;G ^Zygochloa paradoxa,Enteropogon ramosus,Aristida holathera\tussock grass,forb,^hummock grass\1\bi",bi,1,N,Land Unit 4.1,Drainage - Sandy creeks,"Sandy stream channels (up to 100m wide), 5m deep and associated floodplains. Coarse textured alluvial, well drained soil",-,3,3131,43,-,Forb
1,2274,G1,3,3,31600023,pure,NTLUNIT1750/2000,5880,-,Foliage Cover (classed data),-9999,Average Height (general vegetation mapping),-9999,"U1+ ^Eucalyptus camaldulensis\^tree\6\i;M1 Atalaya hemiglauca,^Acacia victoriae,Acacia farnesiana\^shrub\3\bi;G1 ^Zygochloa paradoxa,Enteropogon ramosus,Aristida holathera\tussock grass,forb,^hummock grass\1\bi",Low woodland,Eucalyptus low woodland,Eucalyptus low woodland\Acacia mid isolated shrubs\Zygochloa low isolated hummock grasses,"U+ ^Eucalyptus camaldulensis\^tree\6\i;M1 Atalaya hemiglauca,^Acacia victoriae,Acacia farnesiana\^shrub\3\bi;G ^Zygochloa paradoxa,Enteropogon ramosus,Aristida holathera\tussock grass,forb,^hummock grass\1\bi",bi,1,N,Land Unit 4.1,Drainage - Sandy creeks,"Sandy stream channels (up to 100m wide), 5m deep and associated floodplains. Coarse textured alluvial, well drained soil",-,3,3131,43,-,Hummock grass
1,2274,G1,3,3,31600023,pure,NTLUNIT1750/2000,5880,-,Foliage Cover (classed data),-9999,Average Height (general vegetation mapping),-9999,"U1+ ^Eucalyptus camaldulensis\^tree\6\i;M1 Atalaya hemiglauca,^Acacia victoriae,Acacia farnesiana\^shrub\3\bi;G1 ^Zygochloa paradoxa,Enteropogon ramosus,Aristida holathera\tussock grass,forb,^hummock grass\1\bi",Low woodland,Eucalyptus low woodland,Eucalyptus low woodland\Acacia mid isolated shrubs\Zygochloa low isolated hummock grasses,"U+ ^Eucalyptus camaldulensis\^tree\6\i;M1 Atalaya hemiglauca,^Acacia victoriae,Acacia farnesiana\^shrub\3\bi;G ^Zygochloa paradoxa,Enteropogon ramosus,Aristida holathera\tussock grass,forb,^hummock grass\1\bi",bi,1,N,Land Unit 4.1,Drainage - Sandy creeks,"Sandy stream channels (up to 100m wide), 5m deep and associated floodplains. Coarse textured alluvial, well drained soil",-,3,3131,43,-,Tussock grass
2,1751,U1,1,5,31600024,pure,NTLUNIT1750/2000,5881,1,Percentage Cover (classed data),-9999,Average Height (general vegetation mapping),-9999,"U1+ ^Eucalyptus camaldulensis,Corymbia aparrerinja,Corymbia opaca+/-Atalaya hemiglauca+/-Eucalyptus coolabah subsp. arida\^tree\7\r;M1 ^Santalum lanceolatum,Rhagodia spinescens,Senna artemisioides subsp. filifolia+/-Acacia aneura+/-Eremophila latrobei subsp. latrobei\^shrub,chenopod shrub\4\r;G1 ^Aristida holathera,Dactyloctenium radulans,Enneapogon polyphyllus+/-Cenchrus ciliaris+/-Enneapogon avenaceus\^tussock grass\2\c",Open woodland,Eucalyptus open woodland,Eucalyptus mid open woodland\Santalum tall sparse shrubland\Aristida mid tussock grassland,"U+ ^Eucalyptus camaldulensis,Corymbia aparrerinja,Corymbia opaca\^tree\7\r;M1 ^Santalum lanceolatum,Rhagodia spinescens,Senna artemisioides filiformis\^shrub,chenopod shrub\4\r;G ^Aristida holathera,Dactyloctenium radulans,Enneapogon polyphyllus\^tussock grass\2\c",r,7,Y,LUCYLU4.2,Drainage - Narrow stream channels,"Narrow stream channels (up to 20m wide and 5m deep) and associated floodplains, stream channels are usually dry. Coarse textured alluvial, well drained soil",-,3,3132,43,-,Tree
2,1751,M1,2,5,31600024,pure,NTLUNIT1750/2000,5882,-,Percentage Cover (classed data),-9999,Average Height (general vegetation mapping),-9999,"U1+ ^Eucalyptus camaldulensis,Corymbia aparrerinja,Corymbia opaca+/-Atalaya hemiglauca+/-Eucalyptus coolabah subsp. arida\^tree\7\r;M1 ^Santalum lanceolatum,Rhagodia spinescens,Senna artemisioides subsp. filifolia+/-Acacia aneura+/-Eremophila latrobei subsp. latrobei\^shrub,chenopod shrub\4\r;G1 ^Aristida holathera,Dactyloctenium radulans,Enneapogon polyphyllus+/-Cenchrus ciliaris+/-Enneapogon avenaceus\^tussock grass\2\c",Open woodland,Eucalyptus open woodland,Eucalyptus mid open woodland\Santalum tall sparse shrubland\Aristida mid tussock grassland,"U+ ^Eucalyptus camaldulensis,Corymbia aparrerinja,Corymbia opaca\^tree\7\r;M1 ^Santalum lanceolatum,Rhagodia spinescens,Senna artemisioides filiformis\^shrub,chenopod shrub\4\r;G ^Aristida holathera,Dactyloctenium radulans,Enneapogon polyphyllus\^tussock grass\2\c",r,4,N,LUCYLU4.2,Drainage - Narrow stream channels,"Narrow stream channels (up to 20m wide and 5m deep) and associated floodplains, stream channels are usually dry. Coarse textured alluvial, well drained soil",-,3,3132,43,-,Chenopod shrub
2,1751,M1,2,5,31600024,pure,NTLUNIT1750/2000,5882,-,Percentage Cover (classed data),-9999,Average Height (general vegetation mapping),-9999,"U1+ ^Eucalyptus camaldulensis,Corymbia aparrerinja,Corymbia opaca+/-Atalaya hemiglauca+/-Eucalyptus coolabah subsp. arida\^tree\7\r;M1 ^Santalum lanceolatum,Rhagodia spinescens,Senna artemisioides subsp. filifolia+/-Acacia aneura+/-Eremophila latrobei subsp. latrobei\^shrub,chenopod shrub\4\r;G1 ^Aristida holathera,Dactyloctenium radulans,Enneapogon polyphyllus+/-Cenchrus ciliaris+/-Enneapogon avenaceus\^tussock grass\2\c",Open woodland,Eucalyptus open woodland,Eucalyptus mid open woodland\Santalum tall sparse shrubland\Aristida mid tussock grassland,"U+ ^Eucalyptus camaldulensis,Corymbia aparrerinja,Corymbia opaca\^tree\7\r;M1 ^Santalum lanceolatum,Rhagodia spinescens,Senna artemisioides filiformis\^shrub,chenopod shrub\4\r;G ^Aristida holathera,Dactyloctenium radulans,Enneapogon polyphyllus\^tussock grass\2\c",r,4,N,LUCYLU4.2,Drainage - Narrow stream channels,"Narrow stream channels (up to 20m wide and 5m deep) and associated floodplains, stream channels are usually dry. Coarse textured alluvial, well drained soil",-,3,3132,43,-,Shrub
2,1751,G1,1,5,31600024,pure,NTLUNIT1750/2000,5883,-,Foliage Cover (classed data),-9999,Average Height (general vegetation mapping),-9999,"U1+ ^Eucalyptus camaldulensis,Corymbia aparrerinja,Corymbia opaca+/-Atalaya hemiglauca+/-Eucalyptus coolabah subsp. arida\^tree\7\r;M1 ^Santalum lanceolatum,Rhagodia spinescens,Senna artemisioides subsp. filifolia+/-Acacia aneura+/-Eremophila latrobei subsp. latrobei\^shrub,chenopod shrub\4\r;G1 ^Aristida holathera,Dactyloctenium radulans,Enneapogon polyphyllus+/-Cenchrus ciliaris+/-Enneapogon avenaceus\^tussock grass\2\c",Open woodland,Eucalyptus open woodland,Eucalyptus mid open woodland\Santalum tall sparse shrubland\Aristida mid tussock grassland,"U+ ^Eucalyptus camaldulensis,Corymbia aparrerinja,Corymbia opaca\^tree\7\r;M1 ^Santalum lanceolatum,Rhagodia spinescens,Senna artemisioides filiformis\^shrub,chenopod shrub\4\r;G ^Aristida holathera,Dactyloctenium radulans,Enneapogon polyphyllus\^tussock grass\2\c",c,2,N,LUCYLU4.2,Drainage - Narrow stream channels,"Narrow stream channels (up to 20m wide and 5m deep) and associated floodplains, stream channels are usually dry. Coarse textured alluvial, well drained soil",-,3,3132,43,-,Tussock grass
3,2275,U1,1,1,31600026,pure,NTLUNIT1750/2000,5884,1,Percentage Cover (classed data),-9999,Average Height (general vegetation mapping),-9999,"U1+ ^Eucalyptus coolabah subsp. arida\^tree\6\r;M1 ^Chenopodium auricomum\^chenopod shrub\3\i;G1 ^Alternanthera angustifolia,Cleome viscosa\^forb,shrub\1\bi",Low open woodland,Eucalyptus low open woodland,Eucalyptus low open woodland\Chenopodium mid open chenopod shrubland\Alternanthera low isolated forbs,"U+ ^Eucalyptus coolabah subsp. arida\^tree\6\r;M1 ^Chenopodium auricomum\^chenopod shrub\3\i;G ^Alternanthera angustifolia,Cleome viscosa\^forb,shrub\1\bi",r,6,Y,Land Unit 4.4,Drainage - Bluebush swamps,Swamps inundated for a period following large rainfalls. Non-cracking brown clay soil,-,3,3134,43,-,Tree
