NVIS_ID,VEGCODE,FOREST_STR,VEGCODE_D,VEG_GROUP,MAPUNT_IDE
2000,RKP,Forest,(RKP) Athrotaxis selaginoides rainforest,Rainforest and related scrub,2000
2001,RPP,Forest,(RPP) Athrotaxis cupressoides rainforest,Rainforest and related scrub,2001
2002,RPF,Forest,(RPF) Athrotaxis cupressoides - Nothofagus gunnii short rainforest,Rainforest and related scrub,2002
2003,RKF,Forest,(RKF) Athrotaxis selaginoides - Nothofagus gunnii short rainforest,Rainforest and related scrub,2003
2004,RCO,Forest,(RCO) Coastal rainforest,Rainforest and related scrub,2004
2005,RSH,Forest,(RSH) Highland low rainforest and scrub,Rainforest and related scrub,2005
2006,RSH,Forest,(RSH) Highland low rainforest and scrub,Rainforest and related scrub,2006
2007,RHP,Forest,(RHP) Lagarostrobos franklinii rainforest and scrub,Rainforest and related scrub,2007
2008,RML,Forest,(RML) Nothofagus - Leptospermum short rainforest,Rainforest and related scrub,2008
2009,RML,Forest,(RML) Nothofagus - Leptospermum short rainforest,Rainforest and related scrub,2009
2010,RML,Forest,(RML) Nothofagus - Leptospermum short rainforest,Rainforest and related scrub,2010
2011,RMT,Forest,(RMT) Nothofagus - Atherosperma rainforest,Rainforest and related scrub,2011
2012,RMT,Forest,(RMT) Nothofagus - Atherosperma rainforest,Rainforest and related scrub,2012
2013,RMT,Forest,(RMT) Nothofagus - Atherosperma rainforest,Rainforest and related scrub,2013
2014,RMS,Forest,(RMS) Nothofagus - Phyllocladus short rainforest,Rainforest and related scrub,2014
2015,RMS,Forest,(RMS) Nothofagus - Phyllocladus short rainforest,Rainforest and related scrub,2015
2016,RMS,Forest,(RMS) Nothofagus - Phyllocladus short rainforest,Rainforest and related scrub,2016
2017,RMS,Forest,(RMS) Nothofagus - Phyllocladus short rainforest,Rainforest and related scrub,2017
2018,RMU,Forest,(RMU) Nothofagus rainforest (undifferentiated),Rainforest and related scrub,2018
2019,RMU,Forest,(RMU) Nothofagus rainforest (undifferentiated),Rainforest and related scrub,2019
2020,RFE,Forest,(RFE) Rainforest fernland,Rainforest and related scrub,2020
2021,RKP,Other,(RKP) Athrotaxis selaginoides rainforest,Rainforest and related scrub,2021
2022,RPP,Other,(RPP) Athrotaxis cupressoides rainforest,Rainforest and related scrub,2022
2023,RPF,Other,(RPF) Athrotaxis cupressoides - Nothofagus gunnii short rainforest,Rainforest and related scrub,2023
2024,RPF,Other,(RPF) Athrotaxis cupressoides - Nothofagus gunnii short rainforest,Rainforest and related scrub,2024
2025,RKS,Other,(RKS) Athrotaxis selaginoides subalpine scrub,Rainforest and related scrub,2025
2026,RCO,Other,(RCO) Coastal rainforest,Rainforest and related scrub,2026
2027,RSH,Other,(RSH) Highland low rainforest and scrub,Rainforest and related scrub,2027
2028,RSH,Other,(RSH) Highland low rainforest and scrub,Rainforest and related scrub,2028
