NVIS_ID,MVG,MVG_CHANGE_CODE,VEGCODE,FOREST_STR,VEGCODE_D,VEG_GROUP
2000,1,Both,RKP,Forest,(RKP) Athrotaxis selaginoides rainforest,Rainforest and related scrub
2001,1,Both,RPP,Forest,(RPP) Athrotaxis cupressoides rainforest,Rainforest and related scrub
2002,1,Both,RPF,Forest,(RPF) Athrotaxis cupressoides - Nothofagus gunnii short rainforest,Rainforest and related scrub
2003,1,Both,RKF,Forest,(RKF) Athrotaxis selaginoides - Nothofagus gunnii short rainforest,Rainforest and related scrub
2004,1,Both,RCO,Forest,(RCO) Coastal rainforest,Rainforest and related scrub
2005,1,Both,RSH,Forest,(RSH) Highland low rainforest and scrub,Rainforest and related scrub
2006,1,Both,RSH,Forest,(RSH) Highland low rainforest and scrub,Rainforest and related scrub
2007,1,Both,RHP,Forest,(RHP) Lagarostrobos franklinii rainforest and scrub,Rainforest and related scrub
2008,1,Both,RML,Forest,(RML) Nothofagus - Leptospermum short rainforest,Rainforest and related scrub
2009,1,Both,RML,Forest,(RML) Nothofagus - Leptospermum short rainforest,Rainforest and related scrub
2010,1,Both,RML,Forest,(RML) Nothofagus - Leptospermum short rainforest,Rainforest and related scrub
2011,1,Both,RMT,Forest,(RMT) Nothofagus - Atherosperma rainforest,Rainforest and related scrub
2012,1,Both,RMT,Forest,(RMT) Nothofagus - Atherosperma rainforest,Rainforest and related scrub
2013,1,Both,RMT,Forest,(RMT) Nothofagus - Atherosperma rainforest,Rainforest and related scrub
2014,1,Both,RMS,Forest,(RMS) Nothofagus - Phyllocladus short rainforest,Rainforest and related scrub
2015,1,Both,RMS,Forest,(RMS) Nothofagus - Phyllocladus short rainforest,Rainforest and related scrub
2016,1,Both,RMS,Forest,(RMS) Nothofagus - Phyllocladus short rainforest,Rainforest and related scrub
2017,1,Both,RMS,Forest,(RMS) Nothofagus - Phyllocladus short rainforest,Rainforest and related scrub
2018,1,No data,RMU,Forest,(RMU) Nothofagus rainforest (undifferentiated),Rainforest and related scrub
2019,1,No data,RMU,Forest,(RMU) Nothofagus rainforest (undifferentiated),Rainforest and related scrub
2020,1,Both,RFE,Forest,(RFE) Rainforest fernland,Rainforest and related scrub
2021,1,Both,RKP,Other,(RKP) Athrotaxis selaginoides rainforest,Rainforest and related scrub
2022,1,Both,RPP,Other,(RPP) Athrotaxis cupressoides rainforest,Rainforest and related scrub
2023,1,Both,RPF,Other,(RPF) Athrotaxis cupressoides - Nothofagus gunnii short rainforest,Rainforest and related scrub
2024,1,Both,RPF,Other,(RPF) Athrotaxis cupressoides - Nothofagus gunnii short rainforest,Rainforest and related scrub
2025,1,Both,RKS,Other,(RKS) Athrotaxis selaginoides subalpine scrub,Rainforest and related scrub
2026,1,Both,RCO,Other,(RCO) Coastal rainforest,Rainforest and related scrub
2027,1,Both,RSH,Other,(RSH) Highland low rainforest and scrub,Rainforest and related scrub
